# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:06:03.155157500 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#	The Duane-Hunt (19.63 keV) for KBr std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	SPI MM1dup Kaersutite[0][all]['SPI MM1 Kaersutite[0][4].msa']
#
# Fit Warnings
#	Removing F from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01871 ± 0.00042' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1dup Kaersutite[6][all],Si,14,28.085,0.18952,0.00052,0.18951,0.00790,0.15159,0.00887
SPI MM1dup Kaersutite[6][all],K,19,39.0983,0.00874,0.00003,0.00874,0.00037,0.00502,0.00029
SPI MM1dup Kaersutite[6][all],Ca,20,40.078,0.08723,0.00009,0.08723,0.00363,0.04889,0.00286
SPI MM1dup Kaersutite[6][all],Ti,22,47.867,0.03280,0.00005,0.03280,0.00137,0.01539,0.00090
SPI MM1dup Kaersutite[6][all],Mn,25,54.938043,0.00141,0.00003,0.00141,0.00007,0.00058,0.00004
SPI MM1dup Kaersutite[6][all],Fe,26,55.845,0.09206,0.00008,0.09205,0.00383,0.03703,0.00217
# Notes
#	Analytical total: 1.000 ± 0.042
#	Residual written to SPI MM1 Kaersutite[6][4][residual].msa.
#
# Spectrum
#	SPI MM1dup Kaersutite[7][all]['SPI MM1 Kaersutite[7][4].msa']
#
# Fit Warnings
#	Removing F from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01773 ± 0.00042' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1dup Kaersutite[7][all],O,8,15.999,0.42279,0.04157,0.42355,0.02401,0.59433,0.02371
SPI MM1dup Kaersutite[7][all],F,9,18.998403163,0.00000,0.00004,0.00000,0.00004,0.00000,0.00004
