Name,Formula,Mass Fractions,Comment
NIST K1727,0.468859*O+0.029674*Na+0.030154*Mg+0.058215*Al+0.299178*Si+0.024904*K+0.035735*Ca+0.01199*Ti+0.006319*Mn+0.034972*Fe,"O:0.46886, Si:0.29918, Al:0.05822, Ca:0.03574, Fe:0.03497, Mg:0.03015, Na:0.02967, K:0.02490, Ti:0.01199, Mn:0.00632",-
NIST K1732,0.023226*Li+0.469826*O+0.052923*Al+0.303853*Si+0.099618*K+0.050554*Mn,"O:0.46983, Si:0.30385, K:0.09962, Al:0.05292, Mn:0.05055, Li:0.02323",-
NIST K1788,0.366022*O+0.060308*Mg+0.105845*Al+0.14024*Si+0.327585*Ta,"O:0.36602, Ta:0.32759, Si:0.14024, Al:0.10584, Mg:0.06031",-
NIST K1807,0.276897*O+0.14024*Si+0.120505*Zn+0.104107*Ge+0.358252*Ba,"Ba:0.35825, O:0.27690, Si:0.14024, Zn:0.12051, Ge:0.10411",-
NIST K2,0.186082*O+0.679574*Te+0.134344*Ba,"Te:0.67957, O:0.18608, Ba:0.13434",-
NIST K2084,0.334106*O+0.186986*Si+0.083015*K+0.05995*Ti+0.069944*Fe+0.080337*Zn+0.185663*Pb,"O:0.33411, Si:0.18699, Pb:0.18566, K:0.08302, Zn:0.08034, Fe:0.06994, Ti:0.05995",-
NIST K2115,0.176382*O+0.093493*Si+0.371326*Pb+0.358798*Bi,"Pb:0.37133, Bi:0.35880, O:0.17638, Si:0.09349",-
NIST K2139,0.488491*O+0.089022*Na+0.095261*Al+0.327226*Si,"O:0.48849, Si:0.32723, Al:0.09526, Na:0.08902",-
NIST K2153,0.479248*O+0.089022*Na+0.04763*Al+0.327226*Si+0.056874*Mn,"O:0.47925, Si:0.32723, Na:0.08902, Mn:0.05687, Al:0.04763",-
NIST K2155,0.470005*O+0.089022*Na+0.327226*Si+0.113747*Mn,"O:0.47001, Si:0.32723, Mn:0.11375, Na:0.08902",-
NIST K2160,0.473172*O+0.089022*Na+0.04763*Al+0.327226*Si+0.062949*Fe,"O:0.47317, Si:0.32723, Na:0.08902, Fe:0.06295, Al:0.04763",-
NIST K2166,0.457853*O+0.089022*Na+0.327226*Si+0.125899*Fe,"O:0.45785, Si:0.32723, Fe:0.12590, Na:0.08902",-
NIST K2207,0.483193*O+0.044511*Na+0.095261*Al+0.327226*Si+0.049809*K,"O:0.48319, Si:0.32723, Al:0.09526, K:0.04981, Na:0.04451",-
NIST K2257,0.111867*B+0.38678*O+0.042072*Si+0.380515*Sr+0.078766*Sn,"O:0.38678, Sr:0.38051, B:0.11187, Sn:0.07877, Si:0.04207",-
NIST K227,0.163855*O+0.093493*Si+0.742652*Pb,"Pb:0.74265, O:0.16386, Si:0.09349",-
NIST K229,0.20994*O+0.14024*Si+0.649821*Pb,"Pb:0.64982, O:0.20994, Si:0.14024",-
NIST K230,0.244878*O+0.026461*Al+0.14024*Si+0.040168*Zn+0.089563*Ba+0.040948*Ta+0.417742*Pb,"Pb:0.41774, O:0.24488, Si:0.14024, Ba:0.08956, Ta:0.04095, Zn:0.04017, Al:0.02646",-
NIST K2307,0.454566*O+0.079384*Al+0.257106*Si+0.107204*Ca+0.029975*Ti+0.031597*Mn+0.040168*Zn,"O:0.45457, Si:0.25711, Ca:0.10720, Al:0.07938, Zn:0.04017, Mn:0.03160, Ti:0.02998",-
NIST K2307,0.454566*O+0.079384*Al+0.257106*Si+0.107204*Ca+0.029975*Ti+0.031597*Mn+0.040168*Zn,"O:0.45457, Si:0.25711, Ca:0.10720, Al:0.07938, Zn:0.04017, Mn:0.03160, Ti:0.02998",-
NIST K2307_1,0.4546*O+0.0794*Al+0.2571*Si+0.1072*Ca+0.03*Ti+0.0316*Mn+0.0402*Zn,"O:0.45460, Si:0.25710, Ca:0.10720, Al:0.07940, Zn:0.04020, Mn:0.03160, Ti:0.03000",-
NIST K2368,0.330099*O+0.246448*Si+0.423454*Ba,"Ba:0.42345, O:0.33010, Si:0.24645",-
NIST K2373,0.411398*O+0.074185*Na+0.026461*Al+0.287491*Si+0.011788*Ni+0.037869*As+0.003333*Mo+0.013131*Cd+0.134344*Ba,"O:0.41140, Si:0.28749, Ba:0.13434, Na:0.07419, As:0.03787, Al:0.02646, Cd:0.01313, Ni:0.01179, Mo:0.00333",-
NIST K2375,0.069679*Li+0.484529*O+0.316942*Si+0.001429*Ca+0.003497*Fe+0.111045*Zr+0.000896*Ba+0.00848*Hf+0.000928*Pb+0.000879*Th+0.001696*U,"O:0.48453, Si:0.31694, Zr:0.11105, Li:0.06968, Hf:0.00848, Fe:0.00350, U:0.00170, Ca:0.00143, Pb:0.00093, Ba:0.00090, Th:0.00088",-
NIST K2384,0.37521*O+0.214099*Si+0.117881*K+0.079733*Ti+0.092326*Fe+0.025708*Zn+0.103043*Pb,"O:0.37521, Si:0.21410, K:0.11788, Pb:0.10304, Fe:0.09233, Ti:0.07973, Zn:0.02571",-
NIST K240,0.340023*O+0.030154*Mg+0.186986*Si+0.05995*Ti+0.040168*Zn+0.07403*Zr+0.268689*Ba,"O:0.34002, Ba:0.26869, Si:0.18699, Zr:0.07403, Ti:0.05995, Zn:0.04017, Mg:0.03015",-
NIST K2422,0.069679*Li+0.046611*B+0.458267*O+0.026461*Al+0.186986*Si+0.211995*U,"O:0.45827, U:0.21199, Si:0.18699, Li:0.06968, B:0.04661, Al:0.02646",-
NIST K2437,0.178809*O+0.559649*Te+0.134344*Ba+0.127197*U,"Te:0.55965, O:0.17881, Ba:0.13434, U:0.12720",-
NIST K2450,0.426634*O+0.158768*Al+0.14024*Si+0.214408*Ca+0.05995*Ti,"O:0.42663, Ca:0.21441, Al:0.15877, Si:0.14024, Ti:0.05995",-
NIST K2451,0.430569*O+0.158768*Al+0.14024*Si+0.214408*Ca+0.056015*V,"O:0.43057, Ca:0.21441, Al:0.15877, Si:0.14024, V:0.05602",-
NIST K2462,0.31655*O+0.186986*Si+0.031597*Mn+0.07106*Co+0.080337*Zn+0.31347*Ba,"O:0.31655, Ba:0.31347, Si:0.18699, Zn:0.08034, Co:0.07106, Mn:0.03160",-
NIST K2463,0.307726*O+0.186986*Si+0.031597*Mn+0.079884*Cu+0.080337*Zn+0.31347*Ba,"Ba:0.31347, O:0.30773, Si:0.18699, Zn:0.08034, Cu:0.07988, Mn:0.03160",-
NIST K2466,0.316453*O+0.205685*Si+0.04796*Ti+0.429902*Ba,"Ba:0.42990, O:0.31645, Si:0.20569, Ti:0.04796",-
NIST K2467,0.314341*O+0.198205*Si+0.057552*Ti+0.429902*Ba,"Ba:0.42990, O:0.31434, Si:0.19820, Ti:0.05755",-
NIST K2468,0.311172*O+0.186986*Si+0.07194*Ti+0.429902*Ba,"Ba:0.42990, O:0.31117, Si:0.18699, Ti:0.07194",-
NIST K2469,0.30589*O+0.168288*Si+0.09592*Ti+0.429902*Ba,"Ba:0.42990, O:0.30589, Si:0.16829, Ti:0.09592",-
NIST K2472,0.308251*O+0.168288*Si+0.05995*Ti+0.033609*V+0.429902*Ba,"Ba:0.42990, O:0.30825, Si:0.16829, Ti:0.05995, V:0.03361",-
NIST K2472,0.308251*O+0.168288*Si+0.05995*Ti+0.033609*V+0.429902*Ba,"Ba:0.42990, O:0.30825, Si:0.16829, Ti:0.05995, V:0.03361",-
NIST K2475,0.065033*Li+0.437884*O+0.042338*Al+0.280479*Si+0.074265*Pb,"O:0.43788, Si:0.28048, Pb:0.07426, Li:0.06503, Al:0.04234",-
NIST K2479,0.069679*Li+0.046611*B+0.472084*O+0.222046*Si+0.040168*Zn+0.037015*Zr+0.044781*Ba+0.0212*Hf+0.046416*Pb,"O:0.47208, Si:0.22205, Li:0.06968, B:0.04661, Pb:0.04642, Ba:0.04478, Zn:0.04017, Zr:0.03701, Hf:0.02120",-
NIST K249,0.244881*O+0.026461*Al+0.14024*Si+0.089563*Ba+0.081896*Ta+0.394534*Pb+0.022425*Bi,"Pb:0.39453, O:0.24488, Si:0.14024, Ba:0.08956, Ta:0.08190, Al:0.02646, Bi:0.02243",-
NIST K2492,0.092905*Li+0.05438*B+0.520336*O+0.018523*Al+0.229058*Si+0.084798*U,"O:0.52034, Si:0.22906, Li:0.09291, U:0.08480, B:0.05438, Al:0.01852",-
NIST K2496,0.323055*O+0.229058*Si+0.017985*Ti+0.429902*Ba,"Ba:0.42990, O:0.32305, Si:0.22906, Ti:0.01799",-
NIST K2500,0.033632*Li+0.424314*O+0.042338*Al+0.280479*Si+0.167097*Pb,"O:0.42431, Si:0.28048, Pb:0.16710, Al:0.04234, Li:0.03363",-
NIST K2501,0.059552*Li+0.445052*O+0.042338*Al+0.280479*Si+0.167097*Pb,"O:0.44505, Si:0.28048, Pb:0.16710, Li:0.05955, Al:0.04234",-
NIST K2503,0.065033*Li+0.445052*O+0.042338*Al+0.280479*Si+0.167097*Pb,"O:0.44505, Si:0.28048, Pb:0.16710, Li:0.06503, Al:0.04234",-
NIST K251,0.230219*O+0.013231*Al+0.14024*Si+0.089563*Ba+0.040948*Ta+0.44095*Pb+0.04485*Bi,"Pb:0.44095, O:0.23022, Si:0.14024, Ba:0.08956, Bi:0.04485, Ta:0.04095, Al:0.01323",-
